L,p,n_err,n_shots,rate,standard_error
4,0.0005,2,3000,0.0006666666666666666,0.00047124735975289457
4,0.001,15,3000,0.005,0.0012877629181387905
4,0.002,51,3000,0.017,0.002360155362117785
4,0.003,116,3000,0.03866666666666667,0.0035200168349765774
4,0.005,291,3000,0.097,0.005403424839858514
4,0.007,531,3000,0.177,0.006968285298407349
4,0.008,455,2000,0.2275,0.009373999946660976
4,0.009,553,2000,0.2765,0.010001193678756551
4,0.01,2467,8000,0.308375,0.0051633305551625295
4,0.011,650,2000,0.325,0.010473180032826705
4,0.012,1081,3000,0.36033333333333334,0.008765333654463706
4,0.015,1319,3000,0.43966666666666665,0.009062006563833583
6,0.001,0,500,0.0,1.414213562373095e-06
6,0.002,3,2000,0.0015,0.0008653756409791069
6,0.003,16,2000,0.008,0.0019919839356781974
6,0.005,76,2000,0.038,0.004275277768753745
6,0.007,218,2000,0.109,0.006968464680257768
6,0.008,320,2000,0.16,0.008197560612767678
6,0.009,430,2000,0.215,0.009186266924055712
6,0.01,1663,6000,0.2771666666666667,0.005778484598859744
6,0.011,643,2000,0.3215,0.010443604502277937
6,0.012,395,1000,0.395,0.015458816254810716
6,0.015,464,1000,0.464,0.015770351930125086
8,0.001,0,1000,0.0,1e-06
8,0.002,0,1000,0.0,1e-06
8,0.003,0,1000,0.0,1e-06
8,0.004,11,2000,0.0055,0.0016537457482938543
8,0.005,30,1200,0.025,0.004506939094329986
8,0.006,85,2000,0.0425,0.0045107510461119445
8,0.007,87,1000,0.087,0.00891240708226459
8,0.008,241,2000,0.1205,0.007279414468211024
8,0.009,400,2000,0.2,0.00894427190999916
8,0.01,1625,6000,0.2708333333333333,0.0057370526534230235
8,0.011,683,2000,0.3415,0.010603719866160178
8,0.012,415,1000,0.415,0.015581238718407466
8,0.015,489,1000,0.489,0.015807561481771943
